Molecule ChEMBL ID,Molecule Name,Standardized_Smiles,pChEMBL Value,Molecular_Weight,AlogP,AlogP,HBD,HBA,RO5_Violations
CHEMBL2011491,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2,9.13,315.1,10.05,8.0,2.0,2.0,1.0
CHEMBL4754487,,COc1cc(CNC(=O)CCCCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O,9.11,315.64,7.28,7.2,4.0,5.0,1.0
CHEMBL2019034,,COc1ccc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc(=O)c2c1,9.11,268.18,7.19,5.9,5.0,5.0,1.0
CHEMBL1814731,,O=C(NCCCCNc1c2c(nc3ccccc13)CCCC2)c1ccc(F)cc1,9.11,171.11,4.87,3.4,3.0,3.0,0.0
CHEMBL4076580,,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccn+(Cc3ccccc3F)cc1)C2,9.1,151.07,4.0,2.0,3.0,3.0,0.0
CHEMBL4753347,,NC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,9.1,260.17,4.16,3.8,7.0,7.0,1.0
CHEMBL603622,CYCLOPHOSTIN,COP1(=O)OCC2COC(=O)C2=C(C)O1,9.1,223.05,1.23,1.0,6.0,6.0,1.0
CHEMBL93936,,c1ccc(CN2CCC(CCc3noc4cc(N5CCOCC5)ccc34)CC2)cc1,9.1,188.14000000000001,4.51,4.9,3.0,3.0,0.0
CHEMBL4583650,,O=C(Nc1ccc(-c2cn(CCNc3c4c(nc5ccccc35)CCCC4)nn2)cn1)Nc1cccc2c1C1CCCCN1C2=O,9.1,244.17,6.2,4.3,5.0,6.0,0.0
CHEMBL5185868,,O=C(COc1ccc(Cl)cc1N+(=O)O-)NCCN1CCN(Cc2ccccc2)CC1,9.1,263.58,2.56,2.1,8.0,8.0,1.0
CHEMBL92663,,NC(=O)c1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,9.1,152.11,3.77,3.4,3.0,3.0,0.0
CHEMBL1651247,,c1ccc(CN2CCC(CCc3noc4cc(C5CCCCC5)ccc34)CC2)cc1,9.1,182.14999999999998,6.72,6.7,1.0,1.0,1.0
CHEMBL155945,,CN1CCC(CC/C=C2\Cc3ccccc3C2=O)CC1,9.09,174.13,3.47,5.2,2.0,2.0,1.0
